URL,Ridership Numbers,Station,Year,Address,Station Name,Abbreviation,Check,State
https://www.railpassengers.org/site/assets/files/6876/acd.pdf,906,/site/assets/files/6876/acd.pdf,2022,"630 Old Highway 21 Arcadia, MO 63621","Arcadia, MO",ACD,a,MO
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,67629,/site/assets/files/1704/ard.pdf,2016,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,65882,/site/assets/files/1704/ard.pdf,2017,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,63493,/site/assets/files/1704/ard.pdf,2018,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,68629,/site/assets/files/1704/ard.pdf,2019,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,34010,/site/assets/files/1704/ard.pdf,2020,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,14359,/site/assets/files/1704/ard.pdf,2021,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1704/ard.pdf,39848,/site/assets/files/1704/ard.pdf,2022,"Station Rd and Lancaster Ave Ardmore, PA 19003","Ardmore, PA",ARD,a,PA
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,7218,/site/assets/files/1703/adm.pdf,2016,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,7287,/site/assets/files/1703/adm.pdf,2017,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,6918,/site/assets/files/1703/adm.pdf,2018,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,6624,/site/assets/files/1703/adm.pdf,2019,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,4435,/site/assets/files/1703/adm.pdf,2020,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,4127,/site/assets/files/1703/adm.pdf,2021,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1703/adm.pdf,5025,/site/assets/files/1703/adm.pdf,2022,"251 E Main St Ardmore, OK 73401-7016","Ardmore, OK",ADM,a,OK
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,1177,/site/assets/files/1705/ark.pdf,2016,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,1390,/site/assets/files/1705/ark.pdf,2017,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,1433,/site/assets/files/1705/ark.pdf,2018,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,1389,/site/assets/files/1705/ark.pdf,2019,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
